"레벨","직업","부위","장비명","획득 보스","확률 설명"
"200","전사","갑옷","200레벨 토벌자의 흉갑","공허 포식자 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"200","전사","바지","200레벨 토벌자의 판금각반","공허 포식자 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"200","전사","장갑","200레벨 토벌자의 철장갑","공허 포식자 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"200","전사","신발","200레벨 토벌자의 전투장화","공허 포식자 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"200","전사","반지","200레벨 토벌자의 인장반지","공허 포식자 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"200","전사","귀걸이","200레벨 토벌자의 전공귀걸이","공허 포식자 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"200","전사","펜던트","200레벨 토벌자의 수호패","공허 포식자 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","마법사","무기","10레벨 토벌자의 완드","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","마법사","투구","10레벨 토벌자의 마법모자","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","마법사","갑옷","10레벨 토벌자의 로브","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","마법사","바지","10레벨 토벌자의 마법바지","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","마법사","장갑","10레벨 토벌자의 주문장갑","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","마법사","신발","10레벨 토벌자의 마법신","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","마법사","반지","10레벨 토벌자의 마력반지","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","마법사","귀걸이","10레벨 토벌자의 비전귀걸이","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","마법사","펜던트","10레벨 토벌자의 주술목걸이","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","마법사","무기","20레벨 토벌자의 완드","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","마법사","투구","20레벨 토벌자의 마법모자","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","마법사","갑옷","20레벨 토벌자의 로브","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","마법사","바지","20레벨 토벌자의 마법바지","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","마법사","장갑","20레벨 토벌자의 주문장갑","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","마법사","신발","20레벨 토벌자의 마법신","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","마법사","반지","20레벨 토벌자의 마력반지","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","마법사","귀걸이","20레벨 토벌자의 비전귀걸이","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","마법사","펜던트","20레벨 토벌자의 주술목걸이","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","마법사","무기","30레벨 토벌자의 완드","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","마법사","투구","30레벨 토벌자의 마법모자","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","마법사","갑옷","30레벨 토벌자의 로브","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","마법사","바지","30레벨 토벌자의 마법바지","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","마법사","장갑","30레벨 토벌자의 주문장갑","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","마법사","신발","30레벨 토벌자의 마법신","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","마법사","반지","30레벨 토벌자의 마력반지","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","마법사","귀걸이","30레벨 토벌자의 비전귀걸이","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","마법사","펜던트","30레벨 토벌자의 주술목걸이","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","마법사","무기","40레벨 토벌자의 완드","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","마법사","투구","40레벨 토벌자의 마법모자","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","마법사","갑옷","40레벨 토벌자의 로브","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","마법사","바지","40레벨 토벌자의 마법바지","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","마법사","장갑","40레벨 토벌자의 주문장갑","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","마법사","신발","40레벨 토벌자의 마법신","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","마법사","반지","40레벨 토벌자의 마력반지","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","마법사","귀걸이","40레벨 토벌자의 비전귀걸이","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","마법사","펜던트","40레벨 토벌자의 주술목걸이","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","마법사","무기","50레벨 토벌자의 완드","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","마법사","투구","50레벨 토벌자의 마법모자","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","마법사","갑옷","50레벨 토벌자의 로브","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","마법사","바지","50레벨 토벌자의 마법바지","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","마법사","장갑","50레벨 토벌자의 주문장갑","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","마법사","신발","50레벨 토벌자의 마법신","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","마법사","반지","50레벨 토벌자의 마력반지","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","마법사","귀걸이","50레벨 토벌자의 비전귀걸이","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","마법사","펜던트","50레벨 토벌자의 주술목걸이","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","마법사","무기","60레벨 토벌자의 완드","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","마법사","투구","60레벨 토벌자의 마법모자","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","마법사","갑옷","60레벨 토벌자의 로브","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","마법사","바지","60레벨 토벌자의 마법바지","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","마법사","장갑","60레벨 토벌자의 주문장갑","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","마법사","신발","60레벨 토벌자의 마법신","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","마법사","반지","60레벨 토벌자의 마력반지","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","마법사","귀걸이","60레벨 토벌자의 비전귀걸이","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","마법사","펜던트","60레벨 토벌자의 주술목걸이","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","마법사","무기","70레벨 토벌자의 완드","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","마법사","투구","70레벨 토벌자의 마법모자","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","마법사","갑옷","70레벨 토벌자의 로브","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","마법사","바지","70레벨 토벌자의 마법바지","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","마법사","장갑","70레벨 토벌자의 주문장갑","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","마법사","신발","70레벨 토벌자의 마법신","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","마법사","반지","70레벨 토벌자의 마력반지","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","마법사","귀걸이","70레벨 토벌자의 비전귀걸이","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","마법사","펜던트","70레벨 토벌자의 주술목걸이","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","마법사","무기","80레벨 토벌자의 완드","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","마법사","투구","80레벨 토벌자의 마법모자","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","마법사","갑옷","80레벨 토벌자의 로브","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","마법사","바지","80레벨 토벌자의 마법바지","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","마법사","장갑","80레벨 토벌자의 주문장갑","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","마법사","신발","80레벨 토벌자의 마법신","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","마법사","반지","80레벨 토벌자의 마력반지","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","마법사","귀걸이","80레벨 토벌자의 비전귀걸이","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","마법사","펜던트","80레벨 토벌자의 주술목걸이","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","마법사","무기","90레벨 토벌자의 완드","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","마법사","투구","90레벨 토벌자의 마법모자","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","마법사","갑옷","90레벨 토벌자의 로브","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","마법사","바지","90레벨 토벌자의 마법바지","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","마법사","장갑","90레벨 토벌자의 주문장갑","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","마법사","신발","90레벨 토벌자의 마법신","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","마법사","반지","90레벨 토벌자의 마력반지","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","마법사","귀걸이","90레벨 토벌자의 비전귀걸이","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","마법사","펜던트","90레벨 토벌자의 주술목걸이","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","마법사","무기","100레벨 토벌자의 완드","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","마법사","투구","100레벨 토벌자의 마법모자","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","마법사","갑옷","100레벨 토벌자의 로브","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","마법사","바지","100레벨 토벌자의 마법바지","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","마법사","장갑","100레벨 토벌자의 주문장갑","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","마법사","신발","100레벨 토벌자의 마법신","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","마법사","반지","100레벨 토벌자의 마력반지","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","마법사","귀걸이","100레벨 토벌자의 비전귀걸이","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","마법사","펜던트","100레벨 토벌자의 주술목걸이","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","마법사","무기","110레벨 토벌자의 완드","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","마법사","투구","110레벨 토벌자의 마법모자","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","마법사","갑옷","110레벨 토벌자의 로브","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","마법사","바지","110레벨 토벌자의 마법바지","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","마법사","장갑","110레벨 토벌자의 주문장갑","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","마법사","신발","110레벨 토벌자의 마법신","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","마법사","반지","110레벨 토벌자의 마력반지","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","마법사","귀걸이","110레벨 토벌자의 비전귀걸이","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","마법사","펜던트","110레벨 토벌자의 주술목걸이","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","마법사","무기","120레벨 토벌자의 완드","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","마법사","투구","120레벨 토벌자의 마법모자","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","마법사","갑옷","120레벨 토벌자의 로브","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","마법사","바지","120레벨 토벌자의 마법바지","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","마법사","장갑","120레벨 토벌자의 주문장갑","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","마법사","신발","120레벨 토벌자의 마법신","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","마법사","반지","120레벨 토벌자의 마력반지","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","마법사","귀걸이","120레벨 토벌자의 비전귀걸이","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","마법사","펜던트","120레벨 토벌자의 주술목걸이","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","마법사","무기","130레벨 토벌자의 완드","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","마법사","투구","130레벨 토벌자의 마법모자","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","마법사","갑옷","130레벨 토벌자의 로브","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","마법사","바지","130레벨 토벌자의 마법바지","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","마법사","장갑","130레벨 토벌자의 주문장갑","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","마법사","신발","130레벨 토벌자의 마법신","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","마법사","반지","130레벨 토벌자의 마력반지","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","마법사","귀걸이","130레벨 토벌자의 비전귀걸이","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","마법사","펜던트","130레벨 토벌자의 주술목걸이","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","마법사","무기","140레벨 토벌자의 완드","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","마법사","투구","140레벨 토벌자의 마법모자","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","마법사","갑옷","140레벨 토벌자의 로브","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","마법사","바지","140레벨 토벌자의 마법바지","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","마법사","장갑","140레벨 토벌자의 주문장갑","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","마법사","신발","140레벨 토벌자의 마법신","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","마법사","반지","140레벨 토벌자의 마력반지","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","마법사","귀걸이","140레벨 토벌자의 비전귀걸이","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","마법사","펜던트","140레벨 토벌자의 주술목걸이","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","마법사","무기","150레벨 토벌자의 완드","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","마법사","투구","150레벨 토벌자의 마법모자","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","마법사","갑옷","150레벨 토벌자의 로브","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","마법사","바지","150레벨 토벌자의 마법바지","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","마법사","장갑","150레벨 토벌자의 주문장갑","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","마법사","신발","150레벨 토벌자의 마법신","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","마법사","반지","150레벨 토벌자의 마력반지","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","마법사","귀걸이","150레벨 토벌자의 비전귀걸이","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","마법사","펜던트","150레벨 토벌자의 주술목걸이","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","마법사","무기","160레벨 토벌자의 완드","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","마법사","투구","160레벨 토벌자의 마법모자","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","마법사","갑옷","160레벨 토벌자의 로브","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","마법사","바지","160레벨 토벌자의 마법바지","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","마법사","장갑","160레벨 토벌자의 주문장갑","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","마법사","신발","160레벨 토벌자의 마법신","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","마법사","반지","160레벨 토벌자의 마력반지","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","마법사","귀걸이","160레벨 토벌자의 비전귀걸이","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","마법사","펜던트","160레벨 토벌자의 주술목걸이","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","마법사","무기","170레벨 토벌자의 완드","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","마법사","투구","170레벨 토벌자의 마법모자","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","마법사","갑옷","170레벨 토벌자의 로브","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","마법사","바지","170레벨 토벌자의 마법바지","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","마법사","장갑","170레벨 토벌자의 주문장갑","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","마법사","신발","170레벨 토벌자의 마법신","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","마법사","반지","170레벨 토벌자의 마력반지","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","마법사","귀걸이","170레벨 토벌자의 비전귀걸이","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","마법사","펜던트","170레벨 토벌자의 주술목걸이","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","마법사","무기","180레벨 토벌자의 완드","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","마법사","투구","180레벨 토벌자의 마법모자","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","마법사","갑옷","180레벨 토벌자의 로브","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","마법사","바지","180레벨 토벌자의 마법바지","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","마법사","장갑","180레벨 토벌자의 주문장갑","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","마법사","신발","180레벨 토벌자의 마법신","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","마법사","반지","180레벨 토벌자의 마력반지","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","마법사","귀걸이","180레벨 토벌자의 비전귀걸이","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","마법사","펜던트","180레벨 토벌자의 주술목걸이","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"190","마법사","무기","190레벨 토벌자의 완드","심연 기사 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"190","마법사","투구","190레벨 토벌자의 마법모자","심연 기사 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
